batch,scope,condition,n,MR,support_recall_hop2,base_EM,strong_EM,strong_W_to_R,strong_R_to_W,strong_net,strong_flip_rate,base_W_to_R,base_R_to_W,base_net,base_flip_rate
0,batch0,base,10,0.0,0.55,0.2,0.5,0,0,0,0.0,0,0,0,0.0
0,batch0,delta_p_custom_preserve,10,0.16666666666666666,0.65,0.1,0.5,0,0,0,0.0,0,1,-1,0.1
0,batch0,delta_p_custom_signed,10,0.0,0.55,0.2,0.4,0,1,-1,0.1,0,0,0,0.0
0,batch0,delta_p_neg_only,10,0.0,0.55,0.1,0.6,1,0,1,0.1,0,1,-1,0.1
0,batch0,endpoint_delta_custom_preserve,10,0.3333333333333333,0.5,0.1,0.5,1,1,0,0.2,0,1,-1,0.1
0,batch0,endpoint_delta_custom_signed,10,0.3333333333333333,0.6,0.2,0.5,0,0,0,0.0,0,0,0,0.0
0,batch0,endpoint_delta_neg_only,10,0.16666666666666666,0.45,0.2,0.5,0,0,0,0.0,0,0,0,0.0
0,full143,base,142,0.09375,0.5774647887323944,0.14788732394366197,0.45774647887323944,0,0,0,0.0,0,0,0,0.0
0,full143,delta_p_custom_preserve,143,0.2,0.5944055944055944,0.1888111888111888,0.4965034965034965,9,4,5,0.09154929577464789,9,3,6,0.08450704225352113
0,full143,delta_p_custom_signed,143,0.15384615384615385,0.5699300699300699,0.1888111888111888,0.4825174825174825,8,5,3,0.09154929577464789,7,2,5,0.06338028169014084
0,full143,delta_p_neg_only,142,0.1953125,0.573943661971831,0.14084507042253522,0.5,11,6,5,0.12056737588652482,3,5,-2,0.05673758865248227
0,full143,endpoint_delta_custom_preserve,141,0.2890625,0.5602836879432624,0.16312056737588654,0.49645390070921985,11,7,4,0.12857142857142856,8,6,2,0.1
0,full143,endpoint_delta_custom_signed,143,0.19230769230769232,0.548951048951049,0.1258741258741259,0.48951048951048953,7,3,4,0.07042253521126761,6,9,-3,0.1056338028169014
0,full143,endpoint_delta_neg_only,143,0.26153846153846155,0.5944055944055944,0.13286713286713286,0.46853146853146854,7,6,1,0.09154929577464789,6,8,-2,0.09859154929577464
1,batch1,base,9,0.0,0.5555555555555556,0.0,0.3333333333333333,0,0,0,0.0,0,0,0,0.0
1,batch1,delta_p_custom_preserve,10,0.16666666666666666,0.65,0.0,0.5,1,0,1,0.1111111111111111,0,0,0,0.0
1,batch1,delta_p_custom_signed,10,0.16666666666666666,0.65,0.0,0.4,0,0,0,0.0,0,0,0,0.0
1,batch1,delta_p_neg_only,10,0.16666666666666666,0.6,0.0,0.4,0,0,0,0.0,0,0,0,0.0
1,batch1,endpoint_delta_custom_preserve,10,0.3333333333333333,0.65,0.1,0.5,1,0,1,0.1111111111111111,1,0,1,0.1111111111111111
1,batch1,endpoint_delta_custom_signed,10,0.16666666666666666,0.65,0.1,0.6,2,0,2,0.2222222222222222,0,0,0,0.0
1,batch1,endpoint_delta_neg_only,10,0.3333333333333333,0.7,0.0,0.5,1,0,1,0.1111111111111111,0,0,0,0.0
1,full143,base,141,0.0234375,0.5319148936170213,0.15602836879432624,0.475177304964539,0,0,0,0.0,0,0,0,0.0
1,full143,delta_p_custom_preserve,142,0.1953125,0.6056338028169014,0.1619718309859155,0.4647887323943662,3,6,-3,0.06428571428571428,7,7,0,0.1
1,full143,delta_p_custom_signed,143,0.16923076923076924,0.6048951048951049,0.14685314685314685,0.4825174825174825,7,7,0,0.09929078014184398,5,7,-2,0.0851063829787234
1,full143,delta_p_neg_only,143,0.16923076923076924,0.5524475524475524,0.14685314685314685,0.4825174825174825,7,7,0,0.09929078014184398,7,8,-1,0.10638297872340426
1,full143,endpoint_delta_custom_preserve,143,0.13846153846153847,0.5944055944055944,0.13286713286713286,0.48951048951048953,7,6,1,0.09219858156028368,5,8,-3,0.09219858156028368
1,full143,endpoint_delta_custom_signed,143,0.1076923076923077,0.5874125874125874,0.14685314685314685,0.4755244755244755,5,6,-1,0.07801418439716312,5,6,-1,0.07801418439716312
1,full143,endpoint_delta_neg_only,143,0.2,0.5979020979020979,0.16783216783216784,0.4755244755244755,3,4,-1,0.04964539007092199,8,6,2,0.09929078014184398
2,batch2,base,10,0.0,0.45,0.1,0.3,0,0,0,0.0,0,0,0,0.0
2,batch2,delta_p_custom_preserve,10,0.16666666666666666,0.4,0.1,0.3,1,1,0,0.2,0,0,0,0.0
2,batch2,delta_p_custom_signed,10,0.16666666666666666,0.4,0.1,0.4,1,0,1,0.1,0,0,0,0.0
2,batch2,delta_p_neg_only,10,0.0,0.45,0.1,0.3,1,1,0,0.2,0,0,0,0.0
2,batch2,endpoint_delta_custom_preserve,8,0.125,0.4375,0.125,0.375,0,0,0,0.0,0,0,0,0.0
2,batch2,endpoint_delta_custom_signed,10,0.16666666666666666,0.4,0.1,0.5,3,1,2,0.4,0,0,0,0.0
2,batch2,endpoint_delta_neg_only,8,0.2,0.375,0.125,0.625,3,0,3,0.375,0,0,0,0.0
2,full143,base,141,0.09375,0.5283687943262412,0.15602836879432624,0.46099290780141844,0,0,0,0.0,0,0,0,0.0
2,full143,delta_p_custom_preserve,74,0.15,0.668918918918919,0.32432432432432434,0.7297297297297297,4,2,2,0.0821917808219178,10,6,4,0.2191780821917808
2,full143,delta_p_custom_signed,142,0.25,0.5880281690140845,0.14788732394366197,0.5211267605633803,13,6,7,0.1357142857142857,6,8,-2,0.1
2,full143,delta_p_neg_only,143,0.16923076923076924,0.5734265734265734,0.1048951048951049,0.4965034965034965,11,7,4,0.1276595744680851,4,11,-7,0.10638297872340426
2,full143,endpoint_delta_custom_preserve,139,0.16666666666666666,0.5575539568345323,0.1366906474820144,0.4892086330935252,10,8,2,0.13138686131386862,3,5,-2,0.058394160583941604
2,full143,endpoint_delta_custom_signed,143,0.16153846153846155,0.5524475524475524,0.13986013986013987,0.4965034965034965,10,6,4,0.11347517730496454,6,8,-2,0.09929078014184398
2,full143,endpoint_delta_neg_only,143,0.2,0.5524475524475524,0.17482517482517482,0.4755244755244755,7,6,1,0.09219858156028368,10,7,3,0.12056737588652482
